"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 17 23:45:57 WEST 2026","Sun May 17 23:46:02 WEST 2026","5416","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","toolsMenu","toolsMenu – Menu Developer Tools abre submenu",""
"broken","Sun May 17 23:47:25 WEST 2026","Sun May 17 23:47:26 WEST 2026","1158","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testStartGameVsRobot","TC2.5 – Jogar vs Robot abre o tabuleiro de jogo",""
"passed","Sun May 17 23:46:36 WEST 2026","Sun May 17 23:46:39 WEST 2026","2411","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageUrl","US1 - A página principal abre com o URL correto",""
"broken","Sun May 17 23:47:16 WEST 2026","Sun May 17 23:47:17 WEST 2026","1178","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageHasButtons","TC1.4 – Página contém pelo menos um botão",""
"broken","Sun May 17 23:48:54 WEST 2026","Sun May 17 23:48:55 WEST 2026","1396","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsPageLoads","TC3.2 – Página de instruções carrega conteúdo",""
"passed","Sun May 17 23:46:26 WEST 2026","Sun May 17 23:46:28 WEST 2026","2446","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testCreateTournamentOptionVisible","07 - Opção Create tournament está visível","Valida se existe opção para criar campeonato."
"broken","Sun May 17 23:47:07 WEST 2026","Sun May 17 23:47:09 WEST 2026","2119","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","","iscteiul.ista.blackbattleship.usertests.UserStoryTest6","testRulesSectionVisible","US6 - A secção de regras está disponível",""
"broken","Sun May 17 23:48:55 WEST 2026","Sun May 17 23:48:56 WEST 2026","1314","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsContentNotEmpty","TC3.3 – Conteúdo das instruções não está vazio",""
"broken","Sun May 17 23:47:46 WEST 2026","Sun May 17 23:47:48 WEST 2026","1687","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testHomepageUrl","TC1.1 – Homepage abre com URL correcto","Verifica que o URL após abertura contém 'blackbattleship.com'"
"broken","Sun May 17 23:49:06 WEST 2026","Sun May 17 23:49:07 WEST 2026","1420","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testRoomCodeInputIsAccessible","TC4.5 – Campo para código de sala está disponível",""
"broken","Sun May 17 23:47:22 WEST 2026","Sun May 17 23:47:23 WEST 2026","1133","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testEnterNickname","TC2.2 – Pode-se digitar um nickname no campo",""
"passed","Sun May 17 23:46:33 WEST 2026","Sun May 17 23:46:36 WEST 2026","3021","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testStrategiesContentVisible","10 - Página apresenta estratégias ou táticas","Valida se existe conteúdo de estratégias/táticas."
"passed","Sun May 17 23:46:13 WEST 2026","Sun May 17 23:46:16 WEST 2026","2277","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageTitleVisible","02 - Página apresenta título principal","Valida se o título principal Battleship Online está visível."
"broken","Sun May 17 23:47:26 WEST 2026","Sun May 17 23:47:27 WEST 2026","1165","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testNicknameWithSpecialChars","TC2.6 – Nickname com caracteres especiais é aceite",""
"broken","Sun May 17 23:48:50 WEST 2026","Sun May 17 23:48:53 WEST 2026","3285","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsLinkIsVisible","TC3.1 – Link de instruções está visível na homepage",""
"passed","Sun May 17 23:46:02 WEST 2026","Sun May 17 23:46:11 WEST 2026","9001","","Parte 1A – Demo: Testes JetBrains (projecto-piloto)","","iscteiul.ista.blackbattleship.MainPageTest","navigationToAllTools","navigationToAllTools – Navegar para página de todos os produtos",""
"broken","Sun May 17 23:47:53 WEST 2026","Sun May 17 23:47:55 WEST 2026","1714","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testEnterNickname","TC1.5 – Digitar nickname no campo","O campo de nickname deve aceitar texto e reflectir o valor digitado"
"passed","Sun May 17 23:45:19 WEST 2026","Sun May 17 23:45:33 WEST 2026","13533","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest4","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest4","jogadorConsegueIniciarJogoComAmigo","UserStoryTest4 - Iniciar partida com amigo",""
"broken","Sun May 17 23:49:04 WEST 2026","Sun May 17 23:49:06 WEST 2026","1312","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testCreateRoomDisplaysRoomCode","TC4.4 – Criar sala gera e exibe um código de sala",""
"passed","Sun May 17 23:46:39 WEST 2026","Sun May 17 23:46:41 WEST 2026","2549","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageMainOptionsVisible","US1 - A página apresenta opções principais de jogo",""
"broken","Sun May 17 23:47:50 WEST 2026","Sun May 17 23:47:52 WEST 2026","1735","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testPageHasVisibleButton","TC1.3 – Pelo menos um botão visível","Deve existir pelo menos um botão visível na homepage"
"broken","Sun May 17 23:47:17 WEST 2026","Sun May 17 23:47:18 WEST 2026","1141","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testButtonsHaveText","TC1.5 – Botões têm texto não vazio",""
"passed","Sun May 17 23:46:31 WEST 2026","Sun May 17 23:46:33 WEST 2026","2649","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesContentVisible","09 - Regras apresentam conteúdo explicativo","Valida se as regras apresentam conteúdo explicativo."
"broken","Sun May 17 23:48:56 WEST 2026","Sun May 17 23:48:58 WEST 2026","1323","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testInstructionsPageTitle","TC3.4 – Título da aba mantém referência ao jogo nas instruções",""
"broken","Sun May 17 23:48:59 WEST 2026","Sun May 17 23:49:00 WEST 2026","1499","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testNavigationCycleUrl","TC3.6 – URL correcto após ciclo homepage → instruções → homepage",""
"passed","Sun May 17 23:46:11 WEST 2026","Sun May 17 23:46:13 WEST 2026","2437","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testHomepageUrl","01 - Página principal abre com URL correto","Valida se a página principal do Battleship abre corretamente."
"passed","Sun May 17 23:46:28 WEST 2026","Sun May 17 23:46:31 WEST 2026","2499","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testRulesSectionVisible","08 - Secção de regras está visível","Valida se a secção de regras está disponível."
"passed","Sun May 17 23:44:46 WEST 2026","Sun May 17 23:44:54 WEST 2026","7281","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest1","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest1","jogadorConsegueAcederPaginaPrincipal","UserStoryTest1 - Aceder à página principal da Batalha Naval",""
"broken","Sun May 17 23:47:20 WEST 2026","Sun May 17 23:47:22 WEST 2026","1251","","US2 – Nickname e Jogo vs Robot","","tests.UserStoryTest2","testNicknameInputIsVisible","TC2.1 – Campo de nickname está visível",""
"broken","Sun May 17 23:47:43 WEST 2026","Sun May 17 23:47:45 WEST 2026","2072","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testInvalidRoomCodeHandled","TC4.6 – Código de sala inválido não provoca crash",""
"passed","Sun May 17 23:46:41 WEST 2026","Sun May 17 23:46:44 WEST 2026","2289","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","","iscteiul.ista.blackbattleship.usertests.UserStoryTest1","testHomepageTitleVisible","US1 - A página principal apresenta o título do jogo",""
"passed","Sun May 17 23:46:44 WEST 2026","Sun May 17 23:47:02 WEST 2026","18078","","iscteiul.ista.blackbattleship.usertests.UserStoryTest2","","iscteiul.ista.blackbattleship.usertests.UserStoryTest2","testNicknameOrGuestFlowAvailable","US2 - O fluxo de jogo permite identificação do jogador",""
"passed","Sun May 17 23:46:20 WEST 2026","Sun May 17 23:46:23 WEST 2026","2957","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","","iscteiul.ista.blackbattleship.selenide.tests.BattleshipSelenideTest","testPlayVsRobotFlow","05 - Play vs robot inicia fluxo de jogo","Valida se clicar em Play vs robot mantém contexto funcional de jogo."
"broken","Sun May 17 23:47:45 WEST 2026","Sun May 17 23:47:46 WEST 2026","1344","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testLobbyInterfaceElements","TC4.7 – Interface do lobby tem elementos visíveis",""
"broken","Sun May 17 23:48:58 WEST 2026","Sun May 17 23:48:59 WEST 2026","1287","","US3 – Navegação e Conteúdo das Instruções","","tests.UserStoryTest3","testBackFromInstructions","TC3.5 – Botão 'Voltar' regressa ao menu principal",""
"broken","Sun May 17 23:49:03 WEST 2026","Sun May 17 23:49:04 WEST 2026","1262","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testCreateRoomButtonAvailable","TC4.3 – Botão 'Criar Sala' está disponível no lobby",""
"broken","Sun May 17 23:47:52 WEST 2026","Sun May 17 23:47:53 WEST 2026","1711","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testNicknameInputVisible","TC1.4 – Campo de nickname visível","O campo de texto para o nickname deve estar visível na homepage"
"broken","Sun May 17 23:47:13 WEST 2026","Sun May 17 23:47:15 WEST 2026","1189","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageTitleNotEmpty","TC1.2 – Título da página não está vazio",""
"broken","Sun May 17 23:47:48 WEST 2026","Sun May 17 23:47:50 WEST 2026","2057","","US1 – Homepage (Selenide + Allure)","","testsuite.UserStorySelenideTest1","testPageTitleNotEmpty","TC1.2 – Título não está vazio","O título da aba do browser não deve estar em branco"
"passed","Sun May 17 23:44:54 WEST 2026","Sun May 17 23:45:02 WEST 2026","7606","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest2","","iscteiul.ista.blackbattleship.fredson.tests.UserStoryTest2","jogadorConsegueConsultarRegras","UserStoryTest2 - Consultar regras do jogo",""
"broken","Sun May 17 23:47:19 WEST 2026","Sun May 17 23:47:20 WEST 2026","1144","","US1 – Homepage e Verificação de Elementos","","tests.UserStoryTest1","testPageIsLoaded","TC1.7 – Página está carregada (readyState complete)",""
"broken","Sun May 17 23:49:02 WEST 2026","Sun May 17 23:49:03 WEST 2026","1235","","US4 – Lobby e Sala Multiplayer","","tests.UserStoryTest4","testClickMultiplayerNavigatesToLobby","TC4.2 – Clicar em Multiplayer navega para lobby",""
